dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/fcxtjg	82ae8174-f762-11e1-a439-00145eb45e9a	Swiss National Dragonflies Databank	Monnerat C, Gonseth Y (2022). Swiss National Dragonflies Databank. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/fcxtjg accessed via GBIF.org on 2023-12-20.	946
10.15468/ksfmzj	f9ffbc32-a118-43b3-aee8-69f0776b3161	Swiss National Apoidea Databank	Praz C, Müller A, Hermann M, Neumeyer-Funk R, Bénon D, Amiet F, Gonseth Y (2022). Swiss National Apoidea Databank. Version 1.5. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/ksfmzj accessed via GBIF.org on 2023-12-20.	4
10.16904/envidat.136	c0633ec5-19cd-4a58-b84c-ca55c2e7ae64	Swiss National Fungi Databank	Gross A, Blaser S, Senn-Irlet B (2023). Swiss National Fungi Databank. Version 1.2. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.16904/envidat.136 accessed via GBIF.org on 2023-12-20.	1318
10.15468/7jffp3	83fdfd3d-3a25-4705-9fbe-3db1d1892b13	Swiss National Databank of Vascular Plants	Jutzi M, Vilpert M, Juillerat P, Eggenberg S (2023). Swiss National Databank of Vascular Plants. Version 1.14. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/7jffp3 accessed via GBIF.org on 2023-12-20.	16965
10.15468/cjmjy2	b087c908-e2fb-413e-b107-c507b212169f	Swiss National Coleoptera Databank	Chittaro Y, Sanchez A, Monnerat C, Gonseth Y (2023). Swiss National Coleoptera Databank. Version 1.11. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/cjmjy2 accessed via GBIF.org on 2023-12-20.	487
10.15468/bcthst	82afb86e-f762-11e1-a439-00145eb45e9a	Swiss National Grasshoppers Databank	Monnerat C, Gonseth Y (2021). Swiss National Grasshoppers Databank. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/bcthst accessed via GBIF.org on 2023-12-20.	496
10.15468/j3a9ax	aa5a1c3c-2fd1-40eb-9845-95b96dfb5bd2	Swiss National Mammal Databank	Capt S, Hummel S, Angst C (2021). Swiss National Mammal Databank. Version 1.1. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/j3a9ax accessed via GBIF.org on 2023-12-20.	923
10.15468/ggwedn	e6d98b01-d4bf-4afc-89db-29dffdbd4d5b	Swiss National Amphibian Databank	Schmidt B, Bohnenstengel T, Zumbach S (2023). Swiss National Amphibian Databank. Version 1.1. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/ggwedn accessed via GBIF.org on 2023-12-20.	1306
10.15468/atyl1j	82ad4e4e-f762-11e1-a439-00145eb45e9a	Swiss National Butterflies and Forester Moths Databank	Chittaro Y, Gonseth Y (2021). Swiss National Butterflies and Forester Moths Databank. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/atyl1j accessed via GBIF.org on 2023-12-20.	1276
10.15468/gcrj8k	754e1720-be12-4ed6-a873-11a6f95aca47	Swiss National Moths Databank	Rezbanyai-Reser L, Chittaro Y (2021). Swiss National Moths Databank. Version 1.4. Swiss National Biodiversity Data and Information Centres – infospecies.ch. Occurrence dataset https://doi.org/10.15468/gcrj8k accessed via GBIF.org on 2023-12-20.	846
