Group;Scientific Name;French Name;Red List Status;Priority in Switzerland
Papillons diurnes et Zygaenidae;Limenitis populi;Grand sylvain;VU;4
Papillons diurnes et Zygaenidae;Lopinga achine;Bacchante;EN;2
Macrolépidoptères et sésies;Endromis versicolora;"Bombyx versicolore, Ver-
sicolore";EN (2);3
Macrolépidoptères et sésies;Eriogaster catax;"Bombyx Evérie, Laineuse 
du prunellier";CR (1);2
Macrolépidoptères et sésies;Gastropacha populifolia;"Feuille-morte du peuplier, 
Bombyx des feuilles de 
peuplier";CR (1);1
Macrolépidoptères et sésies;Odonestis pruni;Feuille-morte du prunier;EN (2);3
Macrolépidoptères et sésies;Orgyia recens;Soucieuse;CR (1);1
Amphibiens;Bombina variegata;Sonneur à ventre jaune;EN;3
Amphibiens;Lissotriton helveticus;Triton palmé;VU;4
Amphibiens;Rana dalmatina;Grenouille agile;EN;3
Amphibiens;Rana latastei;Grenouille de Lataste;VU;4
Amphibiens;Salamandra salamandra;Salamandre tachetée;VU;4
Amphibiens;Triturus carnifex;Triton crêté italien;EN;3
Amphibiens;Triturus cristatus;Triton crêté;EN;3
Reptiles;Coronella austriaca;Coronelle lisse;VU;4
Reptiles;Natrix helvetica;"Couleuvre à collier hel-
vétique";VU;3
Reptiles;Natrix natrix;"Couleuvre à collier 
nordique";EN;3
Reptiles;Vipera aspis;Vipère aspic;VU;2
Reptiles;Vipera berus;Vipère péliade;EN;3
